id,series_type,user_id,series_id,status,score,progress,progress_volume,priority,repeat,private,notes,custom_lists,advanced_scores,hidden_default,started_on,finished_on,created_at,updated_at
448754790,0,7078392,21394,2,50,13,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:09:06,2024-12-26 07:09:06
448754920,0,7078392,142853,2,50,13,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:10:25,2024-12-26 07:10:25
448755031,0,7078392,21778,2,70,4,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:11:33,2024-12-26 07:11:33
448755879,0,7078392,163263,2,90,11,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:15:49,2024-12-26 07:22:48
448755924,0,7078392,11741,2,50,12,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:16:14,2024-12-26 07:16:14
448756131,0,7078392,141249,2,90,13,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:18:21,2024-12-26 07:22:43
448756176,0,7078392,99750,2,50,1,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:18:47,2024-12-26 07:18:47
448756267,0,7078392,146722,2,90,26,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:19:42,2024-12-26 07:19:42
448756317,0,7078392,124858,2,90,13,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:20:11,2024-12-26 07:20:11
448756394,0,7078392,235,4,90,250,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:20:24,2025-08-03 22:38:29
448756435,0,7078392,141911,2,70,12,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:20:47,2024-12-26 07:20:47
448756451,0,7078392,10087,2,50,13,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:20:57,2024-12-26 07:20:57
448756550,0,7078392,12191,2,70,48,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:22:04,2024-12-26 07:22:04
448756576,0,7078392,16419,2,70,49,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:22:18,2024-12-26 07:22:18
448756609,0,7078392,120150,2,90,12,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:22:33,2024-12-26 07:22:33
448756619,0,7078392,98384,2,90,1,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:22:38,2024-12-26 07:22:38
448756657,0,7078392,21791,2,90,1,0,0,0,0,,[],[],0,0,20241225,2024-12-26 07:22:54,2024-12-26 07:22:54
449294449,1,7078392,103204,2,70,37,6,0,0,0,,[],[],0,0,20241228,2024-12-29 01:10:06,2024-12-29 01:10:06
449294508,1,7078392,148305,0,90,25,0,0,0,0,,[],[],0,20241228,0,2024-12-29 01:10:41,2024-12-31 12:15:26
449894390,1,7078392,169135,0,70,60,0,0,0,0,,[],[],0,20241230,0,2024-12-31 06:57:16,2024-12-31 06:57:16
